Giocatore,Squadra,Squadra entro i parametri stabiliti,Posizione,Età,Valore di mercato (Transfermarkt),Scadenza contratto,Partite disputate,Minuti giocati,Goal,xG,Assist,xA,Paese di nascita,Passaporto,Piede,Altezza,Peso,In prestito,Azione difensive riuscite/90,Duelli difensivi/90,"Duelli difensivi vinti, %",Duelli aerei/90,"Duelli aerei vinti, %",Contrasti/90,Possesso riconquistato dopo tackle scivolato,Tiri intercettati/90,Palle intercettate/90,Possesso riconquistato dopo intercetto,Falli/90,Cartellini gialli,Cartellini gialli/90,Cartellini rossi,Cartellini rossi/90,Azioni offensive riuscite/90,Goal/90,Goal (esclusi rigori),Goal esclusi rigori/90,xG/90,Goal di testa,Goal di testa/90,Tiri,Tiri/90,"Tiri in porta, %","Realizzazione, %",Assist/90,Cross/90,"Precisione cross, %",Cross dalla fascia sinistra/90,"Cross precisi da sinistra, %",Cross dalla fascia destra/90,"Cross precisi da destra, %",Cross verso l'area piccola/90,Dribbling/90,"Dribbling riusciti, %",Duelli offensivi/90,"Duelli offensivi vinti, %",Tocchi in area/90,Allunghi/90,Accelerazioni/90,Passaggi ricevuti/90,Lanci lunghi ricevuti/90,Falli subiti/90,Passaggi/90,"Precisione passaggi, %",Passaggi in avanti/90,"Precisione passaggi in avanti, %",Retropassaggi/90,"Precisione retropassaggi, %",Passaggi laterali/90,"Precisione passaggi laterali, %",Passaggi corti / medi /90,"Precisione passaggi corti / medi, %",Passaggi lunghi/90,"Precisione lanci lunghi, %","Lunghezza media passaggi, m","Lunghezza media passaggi lunghi, m",xA/90,Assist/90.1,Second assist/90,Third assist/90,Passaggi smarcanti/90,"Precisione passaggi smarcanti, %",Passaggi chiave/90,Passaggi nella trequarti/90,"Precisione passaggi verso la trequarti, %",Passaggi verso l'area di rigore/90,"Precisione passaggi verso l'area di rigore, %",Passaggi filtranti/90,"Precisione passaggi filtranti, %",Attacco in profondità/90,Cross dalla trequarti/90,Passaggi progressivi/90,"Precisione passaggi progressivi, %",Retropassaggi ricevuti dal portiere/90 
C. Kourfalidis,Cosenza,Cosenza,"AMF, LCMF, RCMF",21,800000,2026-06-30,10,446,0,0.24,0,0.21,Greece,Greece,destro,178,66,no,9.08,7.26,52.78,3.43,35.29,0.0,0.0,0.2,5.25,7.8,1.82,3,0.61,0,0.0,1.41,0.0,0,0.0,0.05,0,0.0,4,0.81,0.0,0.0,0.0,2.02,50.0,0.4,50.0,1.61,50.0,0.0,1.41,28.57,3.83,31.58,1.21,1.61,0.4,21.39,0.2,1.61,30.87,86.93,9.48,76.6,8.07,100.0,8.88,81.82,25.83,92.19,3.03,66.67,16.83,22.83,0.04,1.41,0.0,0.0,0.0,0.0,0.4,5.25,80.77,2.42,50.0,0.2,0.0,0.61,1.01,5.45,85.19,1.21
I. Koutsoupias,Catanzaro,Catanzaro,"RCMF, LCMF, AMF",23,1300000,2027-06-30,7,483,0,0.62,0,0.23,Greece,Greece,destro,182,76,no,6.34,6.34,58.82,3.73,35.0,0.0,0.0,0.37,2.61,4.08,1.49,0,0.0,0,0.0,2.05,0.0,0,0.0,0.12,0,0.0,8,1.49,0.0,0.0,0.0,1.49,37.5,0.0,0.0,1.49,37.5,0.19,2.8,53.33,11.55,41.94,2.42,2.42,0.0,20.68,1.3,2.8,31.49,84.62,8.76,76.6,7.27,100.0,8.57,84.78,28.14,89.4,2.05,45.45,16.74,21.32,0.04,0.75,0.0,0.0,0.0,0.0,0.0,4.29,82.61,1.3,71.43,0.0,0.0,0.93,0.37,4.66,80.0,0.56
J. Kurtič,Südtirol,Südtirol,LCMF,35,500000,2025-06-30,11,881,0,0.39,0,0.16,Slovenia,Slovenia,destro,186,78,no,8.68,4.8,63.83,3.06,56.67,0.51,0.66,0.1,5.11,6.61,1.23,2,0.2,1,0.1,0.92,0.0,0,0.0,0.04,0,0.0,10,1.02,40.0,0.0,0.0,0.41,75.0,0.41,75.0,0.0,0.0,0.0,0.2,100.0,1.84,72.22,0.61,1.74,0.0,48.01,0.51,1.12,61.5,92.86,19.21,87.23,7.05,97.1,26.36,95.74,57.21,93.57,3.88,84.21,17.6,32.53,0.02,0.41,0.0,0.0,0.0,0.0,0.2,9.6,90.43,1.33,61.54,0.31,66.67,0.72,0.31,7.25,85.92,0.2
G. Kvernadze,Frosinone,Frosinone,"CF, LW, LWB",21,800000,2028-06-30,11,613,0,0.92,1,0.52,Georgia,Georgia,destro,188,76,no,5.87,5.29,52.78,3.23,27.27,0.15,0.2,0.15,2.94,4.0,2.2,2,0.29,0,0.0,4.26,0.0,0,0.0,0.14,0,0.0,13,1.91,15.38,0.0,0.15,2.2,20.0,1.32,22.22,0.88,16.67,0.15,6.61,53.33,14.09,34.38,2.64,3.38,0.44,14.98,1.62,1.03,19.09,77.69,2.94,65.0,5.73,92.31,5.29,72.22,15.71,88.79,1.17,37.5,21.18,18.54,0.08,1.17,0.0,0.0,0.0,0.0,0.15,1.03,57.14,1.32,33.33,0.15,0.0,0.73,0.44,2.2,53.33,0.59
A. La Gumina,Sampdoria,Sampdoria,CF,28,500000,2027-06-30,6,90,0,0.02,0,0.02,Italy,Italy,destro,184,78,no,1.0,5.0,20.0,7.0,28.57,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,0,0.0,1.0,0.0,0,0.0,0.02,0,0.0,1,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,40.0,3.0,0.0,0.0,3.0,0.0,3.0,11.0,36.36,1.0,0.0,3.0,100.0,2.0,0.0,10.0,40.0,0.0,0.0,9.39,0.0,0.02,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A. La Mantia,Catanzaro,Catanzaro,CF,33,450000,2025-06-30,6,255,1,0.45,1,0.06,Italy,Italy,destro,190,81,si,1.76,1.76,20.0,7.76,40.91,0.0,0.0,0.0,1.41,2.11,1.76,1,0.35,0,0.0,0.71,0.35,1,0.35,0.16,1,0.35,4,1.41,25.0,25.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,100.0,5.29,60.0,2.47,0.35,0.0,12.35,2.82,1.76,15.18,86.05,2.12,83.33,4.94,85.71,4.59,84.62,14.47,87.8,0.71,50.0,15.71,10.89,0.02,0.35,0.0,0.0,0.0,0.0,0.35,0.0,0.0,1.06,33.33,0.0,0.0,0.35,0.0,0.0,0.0,0.0
K. Lasagna,Bari,Bari,"CF, RWF, AMF",32,950000,2026-06-30,12,909,3,4.8,0,0.75,Italy,Italy,sinistro,181,80,si,2.67,2.87,58.62,5.05,31.37,0.0,0.0,0.1,0.99,1.38,1.58,1,0.1,0,0.0,3.47,0.3,3,0.3,0.48,0,0.0,31,3.07,32.26,9.677,0.0,1.58,37.5,1.09,36.36,0.5,40.0,0.3,2.87,62.07,9.41,33.68,5.05,1.58,0.5,12.57,1.39,0.79,16.04,67.9,3.07,51.61,4.06,87.8,4.06,68.29,13.56,72.26,1.19,58.33,15.29,23.8,0.07,0.79,0.0,0.1,0.1,100.0,0.2,1.19,91.67,1.09,45.45,0.2,50.0,0.5,0.5,1.98,60.0,0.0
A. Laurienté,Sassuolo,Sassuolo,"LWF, CF, LAMF",25,10000000,2027-06-30,10,773,5,4.51,1,1.34,France,"France, Guadeloupe",destro,177,59,no,3.49,3.26,46.43,1.51,23.08,0.35,0.45,0.35,1.63,2.12,1.51,3,0.35,0,0.0,3.96,0.58,3,0.35,0.53,0,0.0,25,2.91,48.0,20.0,0.12,2.1,16.67,1.98,17.65,0.12,0.0,0.23,3.38,62.07,10.01,37.21,5.24,2.68,0.58,23.52,1.75,1.05,27.36,81.28,4.42,76.32,5.24,93.33,9.31,80.0,24.33,87.56,1.05,66.67,14.46,17.87,0.16,1.05,0.0,0.0,0.12,100.0,0.47,2.68,78.26,2.68,60.87,0.12,100.0,2.45,0.35,3.38,93.1,0.0
J. Le Douaron,Palermo,Palermo,"CF, RW, RWF",26,5000000,2029-06-30,9,411,0,1.05,0,0.01,France,France,sinistro,189,78,no,3.94,5.26,54.17,4.6,47.62,0.0,0.0,0.0,1.09,1.42,1.97,1,0.22,0,0.0,3.07,0.0,0,0.0,0.23,0,0.0,6,1.31,50.0,0.0,0.0,1.75,37.5,0.44,50.0,1.31,33.33,0.22,3.94,44.44,14.67,31.34,3.5,1.53,0.0,11.17,3.5,1.97,17.52,76.25,1.97,66.67,5.91,85.19,5.04,65.22,15.55,80.28,0.22,100.0,15.67,5.49,0.0,0.44,0.0,0.0,0.0,0.0,0.22,0.88,100.0,1.31,50.0,0.0,0.0,0.22,0.66,1.97,77.78,0.44
N. Lella,Bari,Bari,"RW, RCMF",24,750000,2026-06-30,8,502,1,1.1,0,0.36,Italy,Italy,destro,186,74,si,7.35,6.1,58.82,3.94,63.64,0.36,0.49,0.54,3.41,4.67,2.33,2,0.36,1,0.18,1.97,0.18,1,0.18,0.2,1,0.18,9,1.61,22.22,11.111,0.0,1.79,30.0,0.18,0.0,1.61,33.33,0.18,1.79,60.0,4.66,42.31,2.33,1.08,0.36,21.87,0.72,0.36,29.22,77.91,7.71,58.14,6.63,91.89,8.07,80.0,26.35,82.99,1.08,33.33,16.41,18.1,0.06,0.72,0.0,0.0,0.54,0.0,0.0,4.66,69.23,2.33,30.77,0.54,0.0,0.36,0.36,4.3,70.83,0.0
G. Leone,Juve Stabia,Juve Stabia,"LCMF, DMF",23,450000,2025-06-30,10,693,0,0.06,1,0.79,Italy,Italy,destro,179,71,no,6.88,5.19,72.5,1.04,25.0,0.0,0.0,0.0,3.12,4.53,0.39,1,0.13,0,0.0,0.78,0.0,0,0.0,0.01,0,0.0,3,0.39,33.33,0.0,0.13,0.52,75.0,0.39,100.0,0.13,0.0,0.13,0.65,40.0,2.6,40.0,0.39,0.78,0.39,35.19,0.26,0.52,46.1,88.45,12.21,72.34,7.92,100.0,18.57,93.01,41.3,91.82,4.29,57.58,17.73,25.31,0.1,0.91,0.13,0.0,0.0,0.0,0.26,7.27,82.14,1.04,50.0,0.26,0.0,0.39,0.52,6.1,68.09,0.52
L. Lezzerini,Brescia,Brescia,GK,29,400000,2026-06-30,13,1276,0,0.0,0,0.0,Italy,Italy,destro,195,86,no,0.92,0.07,0.0,0.28,50.0,0.0,0.0,0.0,0.92,1.22,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,100.0,0.0,0.0,0.0,12.27,0.35,0.35,17.84,90.91,10.02,85.92,0.07,100.0,7.41,99.05,11.5,98.16,6.28,78.65,30.01,44.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,75.0,0.07,0.0,0.14,50.0,0.0,0.0,5.64,78.75,0.07
L. Libutti,Reggiana,Reggiana,"LB, RB",27,250000,2025-06-30,6,467,0,0.0,0,0.0,Italy,Italy,destro,180,73,no,7.52,5.59,68.97,3.66,15.79,0.0,0.0,0.0,3.66,4.42,0.39,0,0.0,0,0.0,0.39,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.58,33.33,0.39,50.0,0.19,0.0,0.0,0.58,33.33,1.16,16.67,0.19,1.16,0.39,28.14,0.96,0.19,37.39,86.08,17.34,78.89,4.24,100.0,9.64,92.0,34.11,89.83,2.7,50.0,14.05,25.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89,60.0,0.58,0.0,0.0,0.0,0.0,0.19,5.01,73.08,0.19
Charlys,Cosenza,Cosenza,"RCMF, LCMF",20,0,,11,917,1,0.8,0,0.05,Brazil,Brazil,destro,188,70,si,7.95,6.18,65.08,3.63,51.35,0.1,0.14,0.29,3.83,5.6,1.67,4,0.39,0,0.0,1.28,0.1,1,0.1,0.08,0,0.0,14,1.37,7.14,7.143,0.0,0.39,0.0,0.2,0.0,0.2,0.0,0.0,1.77,66.67,3.73,57.89,0.39,1.57,0.2,27.28,0.29,1.18,37.49,83.77,11.19,72.81,5.2,90.57,15.9,88.89,32.19,88.11,5.01,60.78,20.47,37.24,0.0,0.2,0.0,0.0,0.0,0.0,0.0,7.16,76.71,0.88,55.56,0.1,0.0,0.39,0.0,6.09,72.58,0.49
A. Lind,Pisa,Pisa,CF,22,3000000,2028-06-30,9,442,3,1.55,1,0.32,Denmark,Denmark,destro,185,84,no,2.65,4.07,50.0,8.96,31.82,0.0,0.0,0.0,0.61,0.84,2.24,1,0.2,0,0.0,1.43,0.61,3,0.61,0.32,1,0.2,8,1.63,62.5,37.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,50.0,8.35,21.95,2.85,0.81,0.0,7.53,2.24,0.61,9.57,63.83,1.83,66.67,2.24,63.64,3.26,56.25,9.57,63.83,0.0,0.0,12.52,0.0,0.07,0.61,0.2,0.0,0.0,0.0,0.2,1.22,50.0,0.41,50.0,0.0,0.0,0.61,0.0,0.81,100.0,0.0
L. Lipani,Sassuolo,Sassuolo,"LCMF, AMF",19,4000000,2028-06-30,7,201,0,0.13,1,0.1,Italy,Italy,destro,185,76,no,8.06,7.61,64.71,4.03,55.56,0.0,0.0,0.45,3.13,3.56,1.79,1,0.45,0,0.0,0.0,0.0,0,0.0,0.06,0,0.0,1,0.45,0.0,0.0,0.45,0.45,0.0,0.0,0.0,0.45,0.0,0.0,1.34,0.0,8.51,0.0,3.13,0.0,0.0,25.52,0.45,0.0,35.82,78.75,12.54,64.29,8.51,89.47,8.06,88.89,32.69,83.56,2.69,33.33,13.63,18.51,0.05,0.9,0.0,0.45,0.0,0.0,0.45,4.48,70.0,0.45,100.0,0.45,0.0,1.79,0.0,7.16,56.25,0.0
Pedro Mendes,Modena,Modena,"CF, AMF",25,1800000,2027-06-30,5,396,2,2.58,0,0.16,Portugal,Portugal,destro,187,84,no,1.14,1.14,40.0,8.64,60.53,0.0,0.0,0.0,0.68,0.96,0.91,0,0.0,0,0.0,1.59,0.45,2,0.45,0.59,1,0.23,12,2.73,50.0,16.667,0.0,0.45,50.0,0.0,0.0,0.45,50.0,0.0,0.23,0.0,5.23,30.43,3.64,0.0,0.0,12.73,2.27,1.36,19.32,80.0,4.32,73.68,5.45,87.5,4.77,71.43,18.86,80.72,0.0,0.0,13.57,0.0,0.04,0.23,0.0,0.0,0.0,0.0,0.0,2.05,66.67,1.14,40.0,0.0,0.0,0.68,0.23,0.68,100.0,0.0
L. Lochoshvili,Cremonese,Cremonese,"LCB, LB, LCMF",26,1100000,2026-06-30,4,199,0,0.0,0,0.0,Georgia,Georgia,sinistro,191,84,no,7.69,6.33,50.0,2.26,40.0,0.0,0.0,0.9,4.52,6.67,2.71,1,0.45,1,0.45,0.45,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.9,0.0,0.9,0.0,0.0,0.0,0.0,0.45,100.0,3.62,25.0,0.45,1.81,0.0,29.4,1.36,0.0,41.61,90.22,16.73,83.78,3.62,87.5,11.31,100.0,37.99,95.24,2.71,50.0,22.34,26.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.43,83.33,0.45,0.0,0.0,0.0,0.0,0.0,4.07,66.67,0.0
M. Lovato,Sassuolo,Sassuolo,LCB,24,4000000,2027-06-30,5,274,0,0.0,0,0.0,Italy,Italy,destro,188,74,si,10.18,6.9,85.71,3.94,66.67,0.0,0.0,0.0,4.27,5.74,0.99,0,0.0,1,0.33,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1.97,50.0,0.33,0.66,0.0,30.22,0.33,1.97,45.99,90.0,17.74,85.19,1.97,100.0,17.74,90.74,41.06,93.6,4.93,60.0,16.18,17.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,78.57,0.0,0.0,0.0,0.0,0.0,0.0,6.9,57.14,0.99
L. Lucchesi,Reggiana,Reggiana,LCB,21,700000,2025-06-30,7,603,1,0.39,0,0.1,Italy,Italy,sinistro,190,77,si,10.6,6.57,90.91,2.99,55.0,0.45,0.57,0.9,4.18,5.28,0.45,1,0.15,0,0.0,0.3,0.15,1,0.15,0.06,0,0.0,1,0.15,100.0,100.0,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.75,20.0,2.84,36.84,0.3,1.34,0.9,26.42,1.19,0.6,42.69,87.41,17.76,78.99,3.13,95.24,16.87,93.81,36.12,92.98,6.42,58.14,19.62,29.91,0.01,0.15,0.0,0.0,0.0,0.0,0.0,3.58,58.33,0.45,33.33,0.6,25.0,0.15,0.0,7.61,58.82,1.94
K. Lund,Palermo,Palermo,LB,22,3500000,2027-06-30,11,580,0,0.01,0,0.43,Denmark,"Denmark, United States",sinistro,184,65,no,8.69,5.74,72.97,1.4,66.67,0.31,0.38,0.31,4.19,5.19,0.62,1,0.16,0,0.0,1.55,0.0,0,0.0,0.0,0,0.0,1,0.16,0.0,0.0,0.0,3.1,30.0,3.1,30.0,0.0,0.0,0.62,1.09,57.14,3.1,40.0,0.62,0.47,0.0,32.28,0.47,0.78,42.36,78.39,18.16,71.79,4.66,93.33,14.12,83.52,33.21,88.79,6.05,46.15,22.97,34.24,0.07,0.93,0.0,0.0,0.0,0.0,0.16,7.14,65.22,2.48,18.75,0.16,0.0,0.16,0.93,10.09,70.77,1.09
José Machin,Frosinone,Frosinone,"RCMF, LW",28,1000000,2026-06-30,4,89,0,0.03,0,0.13,Spain,"Spain, Equatorial Guinea",destro,184,74,si,3.03,4.04,50.0,2.02,0.0,0.0,0.0,0.0,1.01,2.14,1.01,1,1.01,0,0.0,4.04,0.0,0,0.0,0.04,0,0.0,1,1.01,100.0,0.0,0.0,2.02,100.0,0.0,0.0,2.02,100.0,0.0,3.03,33.33,7.08,28.57,0.0,1.01,0.0,30.34,0.0,1.01,38.43,81.58,14.16,64.29,2.02,100.0,12.13,91.67,31.35,83.87,5.06,60.0,19.85,35.86,0.13,2.02,0.0,0.0,0.0,0.0,2.02,7.08,100.0,4.04,75.0,0.0,0.0,1.01,2.02,12.13,75.0,0.0
M. Maggio,Reggiana,Reggiana,"LW, LWF",22,0,,8,342,1,0.74,1,0.07,Italy,Italy,destro,176,69,no,7.89,6.58,52.0,2.89,27.27,0.53,0.81,0.0,3.95,6.08,1.84,2,0.53,0,0.0,6.05,0.26,1,0.26,0.19,0,0.0,9,2.37,22.22,11.111,0.26,4.21,6.25,3.95,6.67,0.26,0.0,0.79,7.89,66.67,16.58,52.38,4.21,4.47,1.05,21.05,4.47,3.42,29.74,61.06,7.89,50.0,7.11,88.89,9.21,54.29,23.16,73.86,2.37,33.33,18.23,17.45,0.02,0.26,0.0,0.26,0.53,0.0,0.0,3.16,41.67,4.74,33.33,0.53,0.0,1.58,1.05,7.37,57.14,0.0
T. Maggioni,Mantova,Mantova,RB,23,275000,2025-06-30,10,798,0,0.56,0,0.87,Italy,Italy,destro,181,67,no,5.3,3.72,48.48,2.71,41.67,0.11,0.22,0.34,3.38,6.52,0.23,0,0.0,0,0.0,2.26,0.0,0,0.0,0.06,0,0.0,5,0.56,20.0,0.0,0.0,2.14,36.84,0.0,0.0,2.14,36.84,0.23,2.03,61.11,6.65,42.37,1.69,0.56,0.11,23.8,1.47,1.47,30.34,82.16,9.36,68.67,9.02,96.25,6.65,77.97,26.39,87.61,1.92,58.82,16.62,23.66,0.1,0.56,0.0,0.0,0.11,100.0,0.45,1.58,78.57,1.35,50.0,0.11,100.0,0.23,0.79,4.96,52.27,0.34
G. Maggiore,Salernitana,Salernitana,"LCMF, DMF, RCMF",26,3500000,2026-06-30,9,532,0,0.46,0,0.56,Italy,Italy,destro,184,69,no,7.27,5.58,57.58,3.38,50.0,0.34,0.55,0.17,3.72,6.06,2.03,2,0.34,0,0.0,1.69,0.0,0,0.0,0.08,0,0.0,5,0.85,80.0,0.0,0.0,1.02,16.67,0.68,25.0,0.34,0.0,0.0,1.18,71.43,4.23,56.0,2.54,1.35,0.17,24.36,1.35,1.02,34.51,87.25,7.78,82.61,6.94,97.56,12.01,88.73,31.64,89.84,1.86,81.82,15.05,25.97,0.09,0.51,0.0,0.0,0.17,0.0,0.34,3.72,68.18,1.18,42.86,0.51,66.67,0.85,0.17,3.55,85.71,0.0
L. Magnino,Modena,Modena,"RCMF, RDMF, RWB",27,1000000,2026-06-30,10,591,0,0.82,0,0.02,Italy,Italy,destro,185,78,no,7.31,6.09,50.0,2.44,56.25,0.15,0.19,0.15,4.11,5.16,1.37,2,0.3,0,0.0,1.22,0.0,0,0.0,0.13,0,0.0,4,0.61,50.0,0.0,0.0,0.91,50.0,0.0,0.0,0.91,50.0,0.0,0.61,75.0,3.65,41.67,1.83,0.15,0.0,15.99,1.07,0.91,28.63,77.66,8.22,66.67,5.79,86.84,9.14,88.33,26.19,80.23,1.52,50.0,16.18,14.55,0.0,0.3,0.0,0.0,0.0,0.0,0.15,4.26,75.0,0.91,50.0,0.0,0.0,0.3,0.46,4.42,65.52,0.15
A. Magrassi,Cittadella,Cittadella,CF,31,300000,2025-06-30,5,205,0,0.28,1,0.16,Italy,Italy,destro,193,85,no,3.95,3.07,71.43,10.1,43.48,0.0,0.0,0.0,1.76,2.35,1.76,1,0.44,0,0.0,1.76,0.0,0,0.0,0.12,0,0.0,2,0.88,0.0,0.0,0.44,0.44,100.0,0.0,0.0,0.44,100.0,0.44,1.76,75.0,7.9,22.22,2.63,0.88,0.0,10.1,4.39,1.76,14.05,68.75,2.63,50.0,3.95,88.89,4.83,63.64,11.41,76.92,2.2,20.0,16.34,15.11,0.07,0.88,0.0,0.0,0.0,0.0,0.44,0.44,0.0,0.88,50.0,0.0,0.0,0.44,0.44,1.32,33.33,0.0
R. Maiello,Bari,Bari,"DMF, RCMF, LCMF",33,400000,2025-06-30,4,191,0,0.11,0,0.0,Italy,Italy,destro,177,73,no,6.13,4.71,60.0,1.41,33.33,1.88,3.75,0.47,1.41,2.81,2.36,1,0.47,0,0.0,0.47,0.0,0,0.0,0.05,0,0.0,2,0.94,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,1.88,75.0,0.0,0.94,0.0,37.23,0.0,1.41,51.83,89.09,21.2,82.22,6.13,92.31,18.85,92.5,47.12,92.0,4.24,66.67,18.19,33.92,0.0,0.47,0.0,0.0,0.47,100.0,0.0,7.07,93.33,1.41,66.67,0.0,0.0,0.94,0.0,8.48,77.78,1.41
F. Maistro,Juve Stabia,Juve Stabia,"AMF, CF, RWF",26,500000,2026-06-30,10,644,2,1.23,0,1.23,Italy,Italy,destro,180,70,no,3.63,3.91,46.43,1.96,50.0,0.28,0.49,0.0,1.54,2.68,0.98,0,0.0,0,0.0,4.75,0.28,2,0.28,0.17,0,0.0,19,2.66,26.32,10.526,0.0,1.82,23.08,1.12,37.5,0.7,0.0,0.28,5.45,61.54,14.67,43.81,1.82,3.49,0.28,20.82,1.26,3.07,29.35,83.81,7.41,75.47,6.71,93.75,10.06,84.72,25.3,88.4,2.52,72.22,19.94,42.86,0.17,1.68,0.14,0.0,0.42,66.67,0.28,5.17,75.68,2.24,50.0,0.7,80.0,0.84,0.56,4.47,87.5,0.28
M. Maita,Bari,Bari,"RCMF, LCMF",30,750000,2026-06-30,13,1049,1,0.42,0,0.09,Italy,Italy,destro,182,80,no,8.32,8.58,53.0,1.12,38.46,0.0,0.0,0.26,3.78,5.02,1.8,2,0.17,0,0.0,2.14,0.09,1,0.09,0.04,0,0.0,10,0.86,30.0,10.0,0.0,0.34,25.0,0.09,0.0,0.26,33.33,0.0,2.32,74.07,6.78,48.1,0.51,1.12,0.43,25.05,0.43,1.29,36.12,87.41,12.27,76.92,4.12,93.75,14.24,92.77,32.77,90.31,3.0,62.86,18.39,32.69,0.01,0.6,0.17,0.0,0.34,25.0,0.0,8.32,82.47,1.29,60.0,0.34,25.0,0.6,0.09,6.09,84.51,0.34
Ž. Majer,Cremonese,Cremonese,"DMF, RCMF, LCMF",32,800000,2025-06-30,7,481,0,0.27,0,0.03,Slovenia,Slovenia,destro,180,69,no,7.48,5.05,44.44,0.56,0.0,0.0,0.0,0.19,5.24,7.85,2.06,2,0.37,0,0.0,0.19,0.0,0,0.0,0.05,0,0.0,3,0.56,33.33,0.0,0.0,0.19,0.0,0.0,0.0,0.19,0.0,0.0,0.19,0.0,2.43,69.23,0.37,0.75,0.0,35.93,0.37,0.94,47.9,87.5,11.98,75.0,6.74,94.44,21.33,92.98,44.35,89.03,3.37,72.22,18.75,28.88,0.01,0.37,0.0,0.0,0.0,0.0,0.0,5.43,72.41,0.56,0.0,0.0,0.0,0.0,0.0,4.49,66.67,1.12
A. Mallamo,Südtirol,Südtirol,"RW, LCMF, LW",25,350000,2025-06-30,5,251,1,0.65,0,0.51,Italy,Italy,destro,174,70,no,6.81,6.45,66.67,0.72,0.0,0.36,0.59,0.0,2.15,3.53,1.43,0,0.0,0,0.0,6.81,0.36,1,0.36,0.23,1,0.36,8,2.87,25.0,12.5,0.0,2.87,62.5,1.43,50.0,1.08,66.67,0.0,5.02,85.71,12.55,68.57,3.23,2.51,0.36,29.76,1.08,2.87,36.93,86.41,6.81,78.95,13.27,97.3,8.96,84.0,31.91,89.89,2.15,66.67,16.34,15.73,0.18,1.43,0.0,0.0,0.0,0.0,1.79,2.87,75.0,4.66,69.23,0.72,50.0,1.08,1.79,5.38,73.33,0.0
L. Mancuso,Mantova,Mantova,"CF, AMF",32,1000000,2026-06-30,13,662,2,2.28,0,0.32,Italy,Italy,destro,182,80,no,2.18,1.63,41.67,3.81,46.43,0.27,0.57,0.0,1.22,2.57,1.63,1,0.14,0,0.0,2.31,0.27,1,0.14,0.31,0,0.0,18,2.45,22.22,11.111,0.0,0.54,75.0,0.27,50.0,0.27,100.0,0.0,2.31,58.82,7.34,46.3,2.31,0.95,0.41,10.88,1.09,2.31,14.14,74.04,3.67,62.96,3.26,87.5,5.03,78.38,12.78,76.6,0.82,33.33,15.62,11.7,0.04,0.54,0.0,0.0,0.14,0.0,0.14,1.09,37.5,1.36,70.0,0.27,0.0,0.54,0.41,2.58,63.16,0.0
M. Mangraviti,Cesena,Cesena,LCB,26,1600000,2027-06-30,12,1131,0,0.44,0,0.09,Italy,Italy,sinistro,188,80,no,7.64,6.05,63.16,3.42,46.51,0.16,0.21,0.32,3.66,4.76,1.51,2,0.16,0,0.0,0.48,0.0,0,0.0,0.03,0,0.0,5,0.4,60.0,0.0,0.0,0.56,42.86,0.56,42.86,0.0,0.0,0.0,0.08,0.0,0.72,55.56,0.4,0.4,0.0,35.81,0.56,0.8,50.37,87.52,19.1,73.33,2.39,96.67,24.27,97.05,42.65,93.84,7.16,53.33,21.25,35.77,0.01,0.16,0.08,0.0,0.0,0.0,0.08,5.33,70.15,0.56,42.86,0.24,33.33,0.0,0.24,8.75,63.64,1.35
L. Maniero,Cittadella,Cittadella,GK,29,300000,,5,494,0,0.0,0,0.0,Italy,Italy,destro,189,94,no,0.55,0.0,0.0,0.18,100.0,0.0,0.0,0.0,0.55,0.7,0.0,1,0.18,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,7.29,0.0,0.18,11.66,90.63,6.74,86.49,0.0,0.0,4.92,96.3,7.47,100.0,4.19,73.91,29.17,45.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64,88.89,0.0,0.0,0.0,0.0,0.0,0.0,3.64,90.0,0.0
